Car Name,Year,Fuel,Mileage,Transmission,Location,Price,Link
Toyota Soluna 2002 Bensin,2002,BENSIN,200000 KM,MANUAL,"SAWANGAN, DEPOK KOTA",Rp 45.000.000,https://www.olx.co.id/item/toyota-soluna-2002-bensin-iid-932398134
2013 Mercedes-Benz W204 C250 Amgline Avantgarde,2013,BENSIN,60.000-65.000 KM,AUTOMATIC,"BEKASI SELATAN, BEKASI KOTA",Rp 265.000.000,https://www.olx.co.id/item/2013-mercedes-benz-w204-c250-amgline-avantgarde-iid-932398105
Porsche Cayman 2.7 Sport Exhaust / Chrono Fullspec Bose Audio 2013,2013,BENSIN,15.000-20.000 KM,AUTOMATIC,"MAMPANG PRAPATAN, JAKARTA SELATAN",Rp 1.235.000.000,https://www.olx.co.id/item/porsche-cayman-27-sport-exhaust-chrono-fullspec-bose-audio-2013-iid-932030143
[ TANGAN PERTAMA ] Toyota Avanza 1.3 E MT Manual Hitam 2022/2023,2022,BENSIN,30.000-35.000 KM,MANUAL,"PONDOK GEDE, BEKASI KOTA",Rp 177.000.000,https://www.olx.co.id/item/tangan-pertama-toyota-avanza-13-e-mt-manual-hitam-20222023-iid-932398095
Splash Facelift 2013,2013,BENSIN,120.000-125.000 KM,MANUAL,"BEKASI TIMUR, BEKASI KOTA",Rp 72.000.000,https://www.olx.co.id/item/splash-facelift-2013-iid-932397993
Volkswagen Scirocco 2013 Bensin,2013,BENSIN,120000 KM,OTOMATIS,"TELUKJAMBE TIMUR, KARAWANG KAB.",Rp 260.000.000,https://www.olx.co.id/item/volkswagen-scirocco-2013-bensin-iid-932397801
Maserati Quattroporte 2010 Bensin,2010,BENSIN,40000 KM,OTOMATIS,"JATI SAMPURNA, BEKASI KOTA",Rp 1.100.000.000,https://www.olx.co.id/item/maserati-quattroporte-2010-bensin-iid-932397728
Honda BR-V 2016 Bensin,2016,BENSIN,120000 KM,OTOMATIS,"BOGOR UTARA - KOTA, BOGOR KOTA",Rp 165.000.000,https://www.olx.co.id/item/honda-br-v-2016-bensin-iid-929033238
Mitsubishi Xpander Sport New Model Matic / AT '2021-2022' Putih,2021,BENSIN,85.000-90.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 206.000.000,https://www.olx.co.id/item/mitsubishi-xpander-sport-new-model-matic-at-2021-2022-putih-iid-932397712
Honda Brio RS Matic / AT '2016' Putih,2016,BENSIN,75.000-80.000 KM,AUTOMATIC,"BEKASI SELATAN, BEKASI KOTA",Rp 127.000.000,https://www.olx.co.id/item/honda-brio-rs-matic-at-2016-putih-iid-932397542
Suzuki ERTIGA GX HYBRID 1.5 AT 2022 Hitam Premium Condition - A1513RT,2022,BENSIN,10.000-15.000 KM,AUTOMATIC,"KEBAYORAN LAMA, JAKARTA SELATAN",Rp 204.000.000,https://www.olx.co.id/item/suzuki-ertiga-gx-hybrid-15-at-2022-hitam-premium-condition-a1513rt-iid-931855000
DP MURAH - Toyota Yaris 1.5 S Bensin-AT 2021,2021,BENSIN,30.000-35.000 KM,AUTOMATIC,"MUSTIKA JAYA, BEKASI KOTA",Rp 228.000.000,https://www.olx.co.id/item/dp-murah-toyota-yaris-15-s-bensin-at-2021-iid-931957822
KM LOW 27 RIBUAN Toyota Raize GR TSS At 2021 Putih Hitam (Two Tone),2021,BENSIN,25.000-30.000 KM,AUTOMATIC,"MEDAN SATRIA, BEKASI KOTA",Rp 205.000.000,https://www.olx.co.id/item/km-low-27-ribuan-toyota-raize-gr-tss-at-2021-putih-hitam-two-tone-iid-931817155
[KM 50rb] TDP 15jt Sienta Q Matic Tahun 2018,2018,BENSIN,55.000-60.000 KM,AUTOMATIC,"MEDAN SATRIA, BEKASI KOTA",Rp 185.000.000,https://www.olx.co.id/item/km-50rb-tdp-15jt-sienta-q-matic-tahun-2018-iid-931736748
[ LOW KM ] Honda Brio 1.2 E CVT AT Abu NIK 2018/2019,2018,BENSIN,40.000-45.000 KM,AUTOMATIC,"MEDAN SATRIA, BEKASI KOTA",Rp 125.000.000,https://www.olx.co.id/item/low-km-honda-brio-12-e-cvt-at-abu-nik-20182019-iid-932073446
[ LOW KM ] Suzuki XL7 XL 7 Zeta GL AT Putih 2022/2023,2022,BENSIN,25.000-30.000 KM,AUTOMATIC,"BEKASI SELATAN, BEKASI KOTA",Rp 199.000.000,https://www.olx.co.id/item/low-km-suzuki-xl7-xl-7-zeta-gl-at-putih-20222023-iid-932206826
Mercedes Benz Mercy G63 ATPM Black 2020 KM 5rb ANTIK,2020,BENSIN,0-5.000 KM,AUTOMATIC,"BOJONGLOA KIDUL, BANDUNG KOTA",Rp 5.150.000.000,https://www.olx.co.id/item/mercedes-benz-mercy-g63-atpm-black-2020-km-5rb-antik-iid-932397394
Lexus RX300 Fsport 2020,2020,BENSIN,55.000-60.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 848.000.000,https://www.olx.co.id/item/lexus-rx300-fsport-2020-iid-932175655
Toyota Innova 2.0 Q Matic / AT '2016' Hitam,2016,BENSIN,115.000-120.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 236.000.000,https://www.olx.co.id/item/toyota-innova-20-q-matic-at-2016-hitam-iid-932397364
